title,console,genre,publisher,developer,critic_score,total_sales(mil),na_sales(mil),jp_sales(mil),pal_sales(mil),other_sales(mil),release_date,release_year,release_month,sales_sum
New Touch Party Game,DS,Misc,505 Games,ASK Corporation,7.1,0.0,0.0,0.0,0.0,0.0,2007-09-21,2007.0,9.0,0.0
Secrets of the Titanic,PC,Misc,Avanquest Software,Unknown,7.1,0.0,0.0,0.0,0.0,0.0,2012-03-09,2012.0,3.0,0.0
Nintendo DS Browser,DS,Misc,Nintendo,Opera,7.1,0.0,0.0,0.0,0.0,0.0,2007-06-04,2007.0,6.0,0.0
Angel Cat Sugar,PC,Misc,Rising Star,Rising Star Games,7.1,0.0,0.0,0.0,0.0,0.0,2009-10-16,2009.0,10.0,0.0
NES Remix Pack,WiiU,Misc,Nintendo,Nintendo,7.1,0.0,0.0,0.0,0.0,0.0,2014-12-05,2014.0,12.0,0.0
Evangelion Shin Gekijoban: 3nd Impact,PSP,Misc,Namco Bandai Games,Unknown,7.1,0.0,0.0,0.0,0.0,0.0,2011-09-29,2011.0,9.0,0.0
Leisure Suit Larry Collection,PC,Misc,VU Games,Sierra Entertainment,7.1,0.0,0.0,0.0,0.0,0.0,2006-09-15,2006.0,9.0,0.0
Hollywood: The Directors Cut,PC,Puzzle,HdO Adventure,Mastertronic,7.3,0.0,0.0,0.0,0.0,0.0,2012-02-03,2012.0,2.0,0.0
1001 Crosswords,DS,Puzzle,Mastertronic,Mastertronic,7.3,0.0,0.0,0.0,0.0,0.0,2012-11-02,2012.0,11.0,0.0
The Times Crossword Challenge,DS,Puzzle,Atari,Sanuk Games,7.3,0.0,0.0,0.0,0.0,0.0,2009-02-06,2009.0,2.0,0.0
Eggheads,DS,Puzzle,Avanquest,Avanquest Software,7.3,0.0,0.0,0.0,0.0,0.0,2011-12-16,2011.0,12.0,0.0
Hidden Photo,DS,Puzzle,PQube,PQube,7.3,0.0,0.0,0.0,0.0,0.0,2011-03-11,2011.0,3.0,0.0
echoshift,PSP,Puzzle,Sony Computer Entertainment,JAPAN Studio / Artoon,7.5,0.0,0.0,0.0,0.0,0.0,2010-02-24,2010.0,2.0,0.0
Top Trumps: Dogs & Dinosaurs,DS,Puzzle,Ubisoft,Sogoplay,7.3,0.0,0.0,0.0,0.0,0.0,2007-10-12,2007.0,10.0,0.0
Tumblebugs 2,PC,Puzzle,Mumbo Jumbo,Wildfire Studios,7.3,0.0,0.0,0.0,0.0,0.0,2008-10-21,2008.0,10.0,0.0
Qix++,PSP,Puzzle,Taito,Taito Corporation,7.3,0.0,0.0,0.0,0.0,0.0,2010-02-25,2010.0,2.0,0.0
Unsolved Mystery Club: Ancient Astronauts,PC,Puzzle,Freeze Tag,Freeze Tag,7.3,0.0,0.0,0.0,0.0,0.0,2011-07-17,2011.0,7.0,0.0
Jig-A-Pix: Wonderful World,DS,Puzzle,Zushi Games,Zushi Games Ltd,7.3,0.0,0.0,0.0,0.0,0.0,2009-11-20,2009.0,11.0,0.0
Mahjong Mysteries: Ancient Egypt,DS,Puzzle,Avanquest Software,Destineer,7.3,0.0,0.0,0.0,0.0,0.0,2010-06-25,2010.0,6.0,0.0
Pang: Magical Michael,DS,Puzzle,Rising Star,Rising Star Games,7.3,0.0,0.0,0.0,0.0,0.0,2010-09-24,2010.0,9.0,0.0
Art of Murder: Hunt for the Puppeteer,PC,Puzzle,City Interactive,City Interactive,7.3,0.0,0.0,0.0,0.0,0.0,2009-02-17,2009.0,2.0,0.0
Zendoku,PSP,Puzzle,Eidos Interactive,Zoonami Ltd.,7.3,0.0,0.0,0.0,0.0,0.0,2007-04-20,2007.0,4.0,0.0
Amazing Adventures: The Lost Tomb,PC,Puzzle,PopCap Games,SpinTop Games,7.3,0.0,0.0,0.0,0.0,0.0,2007-11-05,2007.0,11.0,0.0
I Spy Challenger!,GBA,Puzzle,Scholastic Inc.,Black Hammer Game,7.3,0.0,0.0,0.0,0.0,0.0,2002-10-09,2002.0,10.0,0.0
Royal Detective 2: The Lord Of Statues,PC,Puzzle,Big Fish Games,Black Lime Games,7.3,0.0,0.0,0.0,0.0,0.0,2015-05-08,2015.0,5.0,0.0
Puzzle Quest: Galactrix,PC,Puzzle,D3 Publisher,Infinite Interactive,7.3,0.0,0.0,0.0,0.0,0.0,2009-02-24,2009.0,2.0,0.0
Brain Challenge Deluxe,PS3,Puzzle,Ubisoft,Gameloft,7.3,0.0,0.0,0.0,0.0,0.0,2009-03-03,2009.0,3.0,0.0
Pic Pic,DS,Puzzle,505 Games,Success,7.3,0.0,0.0,0.0,0.0,0.0,2008-02-08,2008.0,2.0,0.0
The Magician's Handbook: Cursed Valley,PC,Puzzle,Unknown,BCI Software,7.3,0.0,0.0,0.0,0.0,0.0,2007-06-28,2007.0,6.0,0.0
9 Clues 2: The Ward,PC,Puzzle,Artifex Mundi sp. z o.o.,Artifex Mundi,7.3,0.0,0.0,0.0,0.0,0.0,2015-07-23,2015.0,7.0,0.0
Puzzle & Dragons: Super Mario Bros. Edition,3DS,Puzzle,Nintendo,GungHo Online Entertainment,7.3,0.0,0.0,0.0,0.0,0.0,2015-05-22,2015.0,5.0,0.0
Rhythm Heaven Fever,Wii,Music,Nintendo,Nintendo,7.699999999999999,0.0,0.0,0.0,0.0,0.0,2012-02-13,2012.0,2.0,0.0
Deemo: The Last Recital,NS,Music,PM Studios,Rayark Inc.,7.699999999999999,0.0,0.0,0.0,0.0,0.0,2019-01-29,2019.0,1.0,0.0
Kylie Sing and Dance,Wii,Music,Koch Media,Unknown,7.699999999999999,0.0,0.0,0.0,0.0,0.0,2012-12-07,2012.0,12.0,0.0
The Hip Hop Dance Experience,Wii,Music,Ubisoft,iNiS,7.699999999999999,0.0,0.0,0.0,0.0,0.0,2012-11-13,2012.0,11.0,0.0
SUPERBEAT: XONiC,PSV,Music,PM Studios,Nurijoy,7.699999999999999,0.0,0.0,0.0,0.0,0.0,2015-11-10,2015.0,11.0,0.0
Andrew Lloyd Webber Musicals: Sing and Dance,Wii,Music,Koch Media,Tubby Games,7.699999999999999,0.0,0.0,0.0,0.0,0.0,2012-11-09,2012.0,11.0,0.0
